site,variable,metric,slab,urb,veg,clm5,ucps
AU-Preston,Qg,R,0.8895315488639705,0.9099677963816106,0.9094463520063919,0.909271913030557,0.9077775577438941
AU-Preston,Qg,RMSE,52.071481716795496,49.83231732955705,46.668546656593314,48.814436050366794,52.07430282131027
AU-Preston,Qg,MAE,31.83934486789112,34.027908741214986,30.25778393801004,32.35413561468448,36.29628050160529
AU-Preston,Qg,STD,0.7401462999960493,1.078935010117224,0.9191681489165038,1.0780914405817152,1.117659950095606
AU-SurreyHills,SWup,R,0.9850533004887477,0.9956992140501288,0.9960742381116312,0.995680495880045,0.9960124391759719
AU-SurreyHills,SWup,RMSE,13.735396820050473,3.7409881835536165,3.552812508245807,3.6421487517715754,12.923519028122085
AU-SurreyHills,SWup,MAE,7.917192781964116,2.3900797140450947,2.2941811511181593,2.4110653565958162,9.005716017697459
AU-SurreyHills,SWup,STD,1.2561309254865782,0.9804325104935369,0.9801196302689942,0.9880780772294673,0.7744020376719042
AU-SurreyHills,LWup,R,0.9760906132714764,0.9877589536496865,0.9931607416482329,0.9898033129270878,0.9923336124475917
AU-SurreyHills,LWup,RMSE,13.372798335458278,18.742100961497236,4.467164833194839,18.023707568295112,11.574951028102916
AU-SurreyHills,LWup,MAE,9.523101733193826,17.2192199210709,3.5380529145265545,17.13343619454185,10.772161580037578
AU-SurreyHills,LWup,STD,1.213754959753182,1.150646323786896,0.9281321156011922,1.0825619015287857,1.031710931145849
AU-SurreyHills,Rnet,R,0.9963956246142381,0.9991543322610178,0.999421794763046,0.9992229036993646,0.9994224910023688
AU-SurreyHills,Rnet,RMSE,21.561231004433306,18.627507602031137,5.24204599150884,18.12442511719454,9.810802623137485
AU-SurreyHills,Rnet,MAE,12.646151566813003,16.90554758373539,3.9394535035840987,16.980154378924283,8.823133486789576
AU-SurreyHills,Rnet,STD,0.901823584941582,0.9637773194259119,1.011097601079992,0.9793080473768828,1.038458760380704
AU-SurreyHills,Qh,R,0.8443328063090387,0.929764034039892,0.9063359327307514,0.9114923069015703,0.9261300828968405
AU-SurreyHills,Qh,RMSE,43.47538283870601,30.899088911519545,36.95939002036801,34.62285781447895,29.33293842496432
AU-SurreyHills,Qh,MAE,26.554227575756666,18.13087650337123,21.824494055898846,20.18841536771822,18.592623603177355
AU-SurreyHills,Qh,STD,0.7685676267763465,0.7432496684818847,0.6446353965715441,0.7152803007339968,0.8038776242275202
AU-SurreyHills,Qle,R,0.4322207003315538,0.5507832088484895,0.6440234980387329,0.5035519860841948,0.6393647631065985
AU-SurreyHills,Qle,RMSE,47.30566136921186,29.968537414173248,30.240451086595566,33.01950493456552,26.427877625077148
AU-SurreyHills,Qle,MAE,27.991538771066377,17.530577272464335,17.543768624942533,20.544916881789877,15.017882014254035
AU-SurreyHills,Qle,STD,1.5031122873030733,0.5075192537170118,1.0915463767538909,0.5080952960785028,0.6356806920934048
AU-SurreyHills,Qg,R,0.8520172614606982,0.8514991392411114,0.8437715976716806,0.848706981401098,0.8462333837429821
AU-SurreyHills,Qg,RMSE,36.61925514948538,42.8644238622335,38.12127893268748,46.74808630931058,42.6675659849303
AU-SurreyHills,Qg,MAE,22.113384079545327,27.56943978542405,23.507851346571826,29.412818280189498,27.397816139596664
AU-SurreyHills,Qg,STD,0.8752810279816438,1.1776103165585305,0.958751331550947,1.2504428481972503,1.1526789138373756
CA-Sunset,SWup,R,0.9386963874652847,0.9781002042182706,0.977649802098774,0.978048269609703,0.977565780303433
CA-Sunset,SWup,RMSE,13.7350136796543,6.07994542178413,6.570031731271481,6.210657545225215,7.054380321854563
CA-Sunset,SWup,MAE,8.998828323553937,3.8419289573112927,4.163372088856729,3.912026673575604,4.573512623291387
CA-Sunset,SWup,STD,1.283654273305903,1.0361162750915553,0.9420724146299941,0.9687822998425535,1.1007352343013506
CA-Sunset,LWup,R,0.95454954260758,0.9593459757809165,0.9661351551976937,0.9637204454012923,0.9713355469330657
CA-Sunset,LWup,RMSE,18.228576048666802,20.032595556068593,14.854336017713356,16.062109462791295,12.93799949879713
CA-Sunset,LWup,MAE,12.409615137455908,11.937911938265598,9.540647840651003,9.868990181308485,11.016653059540568
CA-Sunset,LWup,STD,1.2729784187200879,1.3139038243604715,1.2057054179891333,1.229968989210966,1.0604710694504889
CA-Sunset,Rnet,R,0.9942189517425377,0.9981564758700523,0.998288960872212,0.998237032699017,0.9982985648992783
CA-Sunset,Rnet,RMSE,25.968952915347803,21.270170747836573,14.348707148152315,15.930385037193439,14.384369168398495
CA-Sunset,Rnet,MAE,16.631747939391076,12.6004911560696,9.499748673389512,10.008280704744626,12.02850031018946
CA-Sunset,Rnet,STD,0.9033620603734618,0.9067706771579062,0.9471793810436736,0.9366044010669554,0.9599426205428221
CA-Sunset,Qh,R,0.8819461020687543,0.9499924370011517,0.9479819464021815,0.945102353981273,0.9393250155591039
CA-Sunset,Qh,RMSE,50.664331928864215,34.02131966837958,33.63633683398322,43.29689687461362,41.71118424756809
CA-Sunset,Qh,MAE,28.623139840127966,23.3538521996815,22.697696696603987,25.765621568350994,32.96822208202765
CA-Sunset,Qh,STD,0.8795532223798153,0.9764603232458549,0.9197118190466396,0.7074297440871496,0.7975681466341511
CA-Sunset,Qle,R,0.47483960720221086,0.5244002508022558,0.682067536920892,0.6980023206502498,0.6984914147171822
CA-Sunset,Qle,RMSE,70.56481319245778,42.00486722931049,33.70323302554662,35.79245885535532,32.72442567584253
CA-Sunset,Qle,MAE,40.10296296603148,24.366880766925966,18.86284226578534,21.605215701777578,18.469981540846245
CA-Sunset,Qle,STD,1.733976297770141,0.4726640916405033,0.6886300227863473,0.9902165007051853,0.7468955882865442
CA-Sunset,Qg,R,0.7958908028785888,0.8461742135996155,0.8461542113263627,0.8460688642969344,0.8367387683228972
CA-Sunset,Qg,RMSE,57.87298242275818,48.35107308408158,48.54527680996151,49.026373619526,50.73661048057504
CA-Sunset,Qg,MAE,38.86475355511691,31.169807908380733,31.196626514510967,32.1277754114439,34.557190591986405
CA-Sunset,Qg,STD,0.6010591394084939,0.845552340834099,0.7989247030499165,0.9259328425438106,0.9241040441408465
FI-Kumpula,SWup,R,0.9573292180363799,0.9803498543628464,0.9479414466793632,0.9332544852798685,0.9785681415153816
FI-Kumpula,SWup,RMSE,21.106887285365286,9.15712634921515,16.490301899107827,16.784641101232022,10.246198014148849
FI-Kumpula,SWup,MAE,10.755432231278865,4.536046079027414,7.443122235158326,6.5559419077372425,5.442519524236224
FI-Kumpula,SWup,STD,1.312752517765472,0.9710093174716738,0.8204240972848236,0.877443781286171,0.9458616387293766
FI-Kumpula,LWup,R,0.9816068860388232,0.993445212207812,0.9968772515354077,0.9931958625166465,0.9939119564811327
FI-Kumpula,LWup,RMSE,13.73864838158238,8.413524855132477,9.34027700212754,6.652564995384184,7.962575902817262
FI-Kumpula,LWup,MAE,9.894011169259581,5.36387498856313,8.217998539797724,4.369122007005174,5.55961657353421
FI-Kumpula,LWup,STD,1.1505345674474396,1.0925785444151734,0.926974133928749,1.016071953862792,1.0964564352196715
FI-Kumpula,Rnet,R,0.9902557220754142,0.9981897059333267,0.9970344598057913,0.9960414832036184,0.9983719196133426
FI-Kumpula,Rnet,RMSE,23.182246049016747,10.721025818473224,16.66757186858079,13.520617267146006,9.390497966202826
