Site,Variable,Model,mean_sdev,mean_coef
GR-HECKOR,Rn,WRF_LCZ,0.9233481873948438,0.9970369480747566
GR-HECKOR,Rn,LI_LCZ,0.922584808806902,0.9970473897379553
GR-HECKOR,Rn,CESM_LCZ,0.9225597748379895,0.9970723618725966
GR-HECKOR,SWup,CNTL,1.053549767069929,0.993504691691713
GR-HECKOR,SWup,WRF_LCZ,1.053549767069929,0.993504691691713
GR-HECKOR,SWup,LI_LCZ,1.053549767069929,0.993504691691713
GR-HECKOR,SWup,CESM_LCZ,1.053549767069929,0.993504691691713
GR-HECKOR,LWup,CNTL,1.6792677012335675,0.9310490422211727
GR-HECKOR,LWup,WRF_LCZ,1.4179754859725966,0.9761911281847646
GR-HECKOR,LWup,LI_LCZ,1.4200849239941697,0.9755373975427565
GR-HECKOR,LWup,CESM_LCZ,1.4170114754299876,0.9749239282363825
GR-HECKOR,Qh,CNTL,1.3701144908947003,0.9371590287664803
GR-HECKOR,Qh,WRF_LCZ,1.1105908846687642,0.9501145419404999
GR-HECKOR,Qh,LI_LCZ,1.1185483357767103,0.9501810274810767
GR-HECKOR,Qh,CESM_LCZ,1.1187321029050357,0.9501943517054191
GR-HECKOR,Qle,CNTL,0.7677313335536374,0.15307591014136623
GR-HECKOR,Qle,WRF_LCZ,0.7596329274223622,0.14401176308999594
GR-HECKOR,Qle,LI_LCZ,0.7602335623224744,0.14423069203744424
GR-HECKOR,Qle,CESM_LCZ,0.7616164415253218,0.14484573826398417
GR-HECKOR,Qtau,CNTL,0.1667094568119223,0.8605527761230618
GR-HECKOR,Qtau,WRF_LCZ,0.16137387700218447,0.8824538627586047
GR-HECKOR,Qtau,LI_LCZ,0.16157837295110974,0.8826102421049542
GR-HECKOR,Qtau,CESM_LCZ,0.1619787987155772,0.8853590982670565
JP-Yoyogi,Rn,CNTL,0.8972294914017429,0.9969112006967054
JP-Yoyogi,Rn,WRF_LCZ,0.9226406771949022,0.9973813532241865
JP-Yoyogi,Rn,LI_LCZ,0.9322047223571682,0.9973572166735125
JP-Yoyogi,Rn,CESM_LCZ,0.9321645896727014,0.9974182787137059
JP-Yoyogi,SWup,CNTL,1.0430200592319074,0.9701804399311488
JP-Yoyogi,SWup,WRF_LCZ,1.042793103842346,0.9702097958687989
JP-Yoyogi,SWup,LI_LCZ,1.0427601528749049,0.9702066615119943
JP-Yoyogi,SWup,CESM_LCZ,1.0426658854904685,0.9701970544373999
JP-Yoyogi,LWup,CNTL,1.2425546733003325,0.9693613990321877
JP-Yoyogi,LWup,WRF_LCZ,1.1724485236777655,0.9817601488695139
JP-Yoyogi,LWup,LI_LCZ,1.1568442046317011,0.9847968527113465
JP-Yoyogi,LWup,CESM_LCZ,1.150855304985662,0.9844353822843159
JP-Yoyogi,Qh,CNTL,1.0316028955675447,0.8539875652273698
JP-Yoyogi,Qh,WRF_LCZ,0.9566718925864766,0.8394247419032986
